Q29349326|P227|"124432891"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q2869002|P227|"120822601"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q25712715|P227|"170225216"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q4830254|P227|"128553928"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q29349925|P227|"132649187"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q28859693|P227|"170810348"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q19866557|P227|"130596809"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q2221715|P227|"13043504X"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q29349930|P227|"129674370"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q29570771|P227|"171354222"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q29570754|P227|"170061345"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
Q29349427|P227|"128635207"|S1476|en:"Via P2428 lookup, derived from ZBW's RAS-GND authors mapping"|S854|"https://github.com/zbw/repec-ras/blob/master/doc/RAS-GND-author-id-mapping.md"
